consen,prolific_id,ai_tools_frequency,hours_online_per_day,ai_decision_help_often,ai_decision_confidence_with_ai,ai_decision_reliance_when_difficult,ai_decision_check_before_finalising,ai_decision_clarity_when_unsure,ai_influence_second_guessing,ai_influence_doubt_when_disagree,ai_influence_check_thinking_track,ai_influence_pause_to_check,ai_decision_check_for_importance,ai_influence_change_decision_feeling,ai_influence_reflection_amount,ai_influence_persuasive_effect,ai_influence_separate_judgement,ai_influence_concern_over_reliance,ai_independence_without_ai,ai_influence_decision_thinking,ai_influence_reflect_shaping,ai_influence_conflict,ai_influence_strength_of_conviction,open_text_ai_decision_example,trust_ai_to_act_in_best_interests,what_matters_most,digital_life_effect_on_focus,feelings_about_ai_in_decision_making,ai_values_multi,age_group,gender,country,education_level,work_status,emotional_wellbeing
Yes,672f778691bdfe96c2c704de,Very often,5-6 hours,6,6,6,6,6,2,3,6,6,6,6,7,6,7,6,6,7,7,6,7,"it was about my trip, i had to rely on AI on all necessary documents needed.",6,7,6,7,"Empathy, Transparency, Accountability",25 - 34,Woman,Canada,Bachelor's degree,Employed part-time,5
Yes,583b397f54686200010f1d20,Often,More than 12 hours,7,7,7,4,7,1,4,5,4,5,1,4,2,4,3,4,6,5,5,5,"A recent moment where I relied on an AI tool was when I was choosing between two different software subscriptions for work. Both options seemed good on the surface, but each had different features, pricing tiers, and long-term commitments. I felt myself getting stuck in the usual loop of overthinking comparing tiny details, worrying I'd regret picking the wrong one, and bouncing between multiple tabs. I turned to an AI tool because I wanted a neutral breakdown without the stress spiral. Instead of sifting through reviews for an hour, the AI summarized the key differencs, highlighted what mattered most based on my needs, and pointed out potential drawbacks I hadn't considered. It didn't make the decision forme, but it made the path to a decision feel clearer. The main reason I chose AI in that moment was the convenience: it was fast, organized the information better than I could on my own, and removed a lot of the emotional noise from the process.
",5,4,5,5,"Responsibility, Human wellbeing, Transparency",45 - 54,Woman,US,Bachelor's degree,Employed full time,5
Yes,580d5d1f357e890001dd14ce,Rarely,11-12 hours,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,I asked it to solve a tough math problem and write it's solution. Then I double checked it. I asked AI because I'm super bad at math.,1,3,5,1,"Responsibility, Transparency, Accountability",35 - 44,Man,US,High school,Not currently working,2
Yes,5ec28db2622c500632dc95bc,Everyday,7-8 hours,7,4,5,7,5,4,5,5,4,5,6,5,4,4,7,7,4,7,7,6,I wanted to check my understanding of my property boundaries. I checked with AI as I wanted to make sure I understand properly before proceeding with building plans. ,3,6,3,3,"Honesty, Empathy, Responsibility",35 - 44,Woman,UK,Postgraduate degree,Employed full time,6
Yes,5f4738bfa043201203a27b4b,Very often,5-6 hours,3,4,5,4,5,2,4,4,3,3,3,5,5,5,6,4,5,5,5,5,When trying to determine appropriate sizing for a piece of art I was buying and how it would look in the space I have.  I wasn't sure if my calculations were right.,5,6,5,5,"Fairness, Human wellbeing, Transparency",35 - 44,Woman,US,Bachelor's degree,Employed full time,5
Yes,5b5a822e1ad8270001c4f28d,Sometimes,More than 12 hours,3,6,4,7,7,1,7,4,4,6,7,4,4,2,5,5,7,4,1,5,Not having the confidence. Wanting to gather the right information in something if I was going with this decision cause it was important to find out.,7,7,7,7,"Fairness, Respect, Accountability",35 - 44,Man,US,High school,Not currently working,4
Yes,601b0712b0701c46459aab27,Rarely,2-4 hours,1,4,2,2,5,2,4,2,2,1,1,1,2,4,5,7,4,2,1,6,I wanted to double-check that I was understanding the situation correctly.,5,6,6,4,"Honesty, Responsibility, Transparency",55 - 65,Woman,UK,Bachelor's degree,Self-employed / freelance,5
Yes,5d23cee7771223001647e8c7,Occasionally,11-12 hours,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,i have used it in the past to help me decide what direction i should go when making a character build for the game baldur's gate 3. i decided to see what it would suggest because i was inducive in my though process.,1,7,2,1,none,35 - 44,Woman,US,Some university/college,Employed full time,5
Yes,6658b1b0d96a48e41e7e971a,Everyday,5-6 hours,6,7,7,5,5,2,3,5,2,5,5,1,1,1,1,1,3,1,1,1,"I turned to AI to check whether i should go the GP for hair loss. It gave me advice, encouragement and recommendations and it was much better than the GP.",6,5,5,4,"Empathy, Human wellbeing, Transparency",25 - 34,Woman,UK,Some university/college,Employed part-time,3
Yes,59e91e73e75b450001a694a9,Often,2-4 hours,4,6,6,5,6,3,5,4,3,5,4,4,4,3,5,3,5,5,3,4,Whether and when I should mix with elderly people when ill,4,5,4,5,"Responsibility, Non-harm, Transparency",45 - 54,Woman,UK,High school,Self-employed / freelance,6
Yes,5c01bf7d4c14cf00019ce2a4,Often,9-10 hours,3,3,2,2,4,2,2,3,2,2,3,2,2,2,7,6,3,3,2,5,"I am a casual sports bettor so I tend to use AI to reinforce some ideas I'll have for a bet I want to place or a prop I am interested in. I'll tend to turn to the AI to get probability statistics and any suggestions for better odds and things of that sort where they can streamline a lot of the process for me instead of me manually searching myself. If the stats it provides make sense and the projections seem sound, it just reinforces my own ideas and I'll feel more confident in my bet.",4,5,4,3,"Honesty, Non-harm, Transparency",35 - 44,Man,Canada,Bachelor's degree,Employed full time,4
Yes,614f253f9cb4943cc553e686,Very often,9-10 hours,3,3,2,5,4,1,6,3,3,5,3,3,3,5,5,6,3,3,5,2,I used it for my statistical decisions in my thesis. It was good but I know the mo0st of the decision and I can follow its decisions,3,4,5,2,"Responsibility, Non-harm, Transparency",25 - 34,Man,Canada,Postgraduate degree,Employed full time,5
Yes,6786c7d17bc067f2f666cbed,Everyday,7-8 hours,5,6,6,4,6,3,6,6,4,5,3,2,4,1,2,4,2,2,2,4,"I was looking for sunglasses at a good price. I found an online store with low price. To which the gpt chat saaid that this was not a very good store with bad reviews, poor support service, and therefore i decided not to buy in this store.",5,6,3,4,"Honesty, Human wellbeing, Non-harm",45 - 54,Woman,US,High school,Employed part-time,6
Yes,67c0856ddb6e54c94c0bb315,Everyday,7-8 hours,1,3,1,5,6,1,3,1,1,5,2,1,1,1,7,7,1,1,6,2,"I needed a solution on how to fix a piece of clothing that had shrunk after washing. I wanted to save time and that's why I asked the AI to find the solution for me. Then I asked the AI if there is a scientific evidence that the solution could actually work, because I didn't want to waste my time to try something that may not work. It gave me pretty good explanation. ",4,7,3,6,"Empathy, Fairness, Non-harm",45 - 54,Woman,Canada,Postgraduate degree,Self-employed / freelance,7
Yes,5d2f7fb4bb27200019010768,Sometimes,5-6 hours,6,5,4,5,6,6,7,5,6,6,5,6,6,6,7,7,5,6,6,5,"I was tying to find some noise cancelling headphones under a spefiic price but I needed the noise cancellation feature to be for the reciever, not for me. I used it to do research quickly and recieve suggestions with certain featues and under a certain budget.",5,6,4,4,"Honesty, Human wellbeing, Transparency",25 - 34,Man,US,Some university/college,Employed full time,4
Yes,5bdf8d7eee652a0001f0999c,Very often,9-10 hours,5,5,5,5,5,5,3,6,3,5,4,5,5,6,6,6,6,6,5,5,I turned to AI to help me decide what to cook while I only had few random ingredients because it was much quicker than figuring it out myself.,6,6,7,6,"Honesty, Human wellbeing, Transparency",25 - 34,Woman,US,Bachelor's degree,Employed full time,5
Yes,62b4403257f7d42730f83394,Everyday,7-8 hours,4,5,5,6,6,3,6,7,5,6,6,6,5,5,5,6,5,5,5,6,"It was on a structure for a book I have of my own personal interests i.e favorite films, songs, tv shows. I wanted AI's advice on the structure and confirming what episodes certain scenes were on, or when a film or song was published. ",6,6,6,6,"Respect, Transparency, Accountability",35 - 44,Man,UK,Other,Self-employed / freelance,5
Yes,671a0b9bd81fdefb79d4f647,Everyday,2-4 hours,4,6,3,5,6,2,4,6,4,6,4,2,2,3,4,3,3,5,3,5,For an exam booking date I was really confused and ask for AI openion saying my challenges and average time for that exam usually candidates to discuss pros and cons to come to an informed decision. ,5,6,5,5,"Honesty, Human wellbeing, Transparency",35 - 44,Woman,UK,Postgraduate degree,Employed part-time,6
Yes,6777f3e9760d3844217b5ea8,Very often,2-4 hours,3,6,5,5,6,3,6,6,3,5,5,2,2,2,4,5,5,4,4,5,"When I was baking banana bread I didn't know what to do because I had less bananas than the recipe stated. My first thought was maybe to add an extra egg. I asked chatgtp what I could do, and they said not to add an egg, instead add some milk for the moisture. ",3,4,5,5,"Fairness, Non-harm, Transparency",18 - 24,Woman,UK,High school,Student,4
Yes,5d8e154af2858200171fdb95,Everyday,7-8 hours,5,5,6,5,7,5,5,6,6,5,4,6,5,4,5,4,4,4,2,5,"I trusted AI to help me decide which job opportunity to accept by weighing up the pro and cons in depth alongside talking it out. I feel it was the best way to tackle this proble,",5,3,4,5,"Honesty, Empathy, Responsibility",35 - 44,Woman,UK,Bachelor's degree,Employed full time,5
Yes,60cf0d251a90eb823bc9b740,Often,5-6 hours,3,4,5,4,6,3,5,4,3,5,3,3,7,5,4,3,5,3,2,6,"I had to purchase a new item but was stuck between two, so I used AI to help me decide. I could measure more objective features easily using AI",4,5,5,6,"Honesty, Human wellbeing, Transparency",25 - 34,Man,UK,Bachelor's degree,Employed full time,6
Yes,62694f79608ed29b7af936b1,Often,7-8 hours,2,4,1,5,6,1,5,1,1,5,1,4,6,1,1,6,4,5,1,6,needed advice noone was around to ask,5,6,5,5,"Fairness, Non-harm, Transparency",55 - 65,Woman,US,High school,Employed full time,6
Yes,686fd6f304b7e79b97c978e6,Often,More than 12 hours,3,2,3,4,3,5,5,4,4,5,3,3,3,3,6,7,4,5,4,7,I wanted to decide a diet for CKD patients. I found that my understanding was wrong when AI double-checked AI's suggestions.,4,5,6,4,"Honesty, Fairness, Transparency",45 - 54,Man,Ireland,Postgraduate degree,Employed full time,3
Yes,5d45ed2a23a1260018201b2c,Sometimes,5-6 hours,5,7,4,4,6,5,3,5,7,6,6,5,7,4,3,5,7,3,6,5,I relied on AI to help me make a debt repayment plan. It's difficult and time consuming to do this on my own.,7,5,5,6,"Respect, Human wellbeing, Non-harm",25 - 34,Woman,UK,Some university/college,Employed full time,3
Yes,599364c1fc37790001fa4e1d,Rarely,2-4 hours,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,i used it a couple of times in work for ideas,1,7,1,1,"Honesty, Fairness, Non-harm",45 - 54,Woman,UK,Some university/college,Employed part-time,7
Yes,61282ca83be28773ac7c421f,Often,9-10 hours,5,4,4,4,5,3,5,5,3,5,1,7,5,5,7,6,4,7,3,7,I was trying to come up with ideas for a logo design for a competition and used AI to get ideas. I chose to use it because I am just not a super creative person and was experiencing a creative block as well so using this tool helped unlock the blockage and made the task easier at the same time.,4,7,7,2,"Non-harm, Transparency, Accountability",45 - 54,Woman,US,Some university/college,Self-employed / freelance,1
Yes,6072c60712f88f017616ca75,Sometimes,Less than 2 hours,2,2,2,2,4,2,4,2,2,2,2,1,4,4,5,6,2,2,4,3,"I had a problem with using an excel spreadsheet,  My choices were to leave what I was doing, start again, ring someone.  I decided to give AI a chance and after a bit of tooing and froing getting description I needed in the question my problem was resolved and you can keep the transcript for future reference.  Pros - I got the job done without bothering anyone quite late at night.  Cons - it would have been quicker to make a phone call to the right person",3,5,5,3,"Non-harm, Transparency, Accountability",Over 65,Woman,UK,High school,Other,6
Yes,6913b3b88bd58310238299c6,Very often,9-10 hours,7,7,5,5,6,2,5,5,2,5,3,2,2,1,3,3,5,5,2,5,I was experiencing a health issue that lasted over several months. I was not getting any positive results from my family physician. After multiple rounds of medications and testing I was having no relief from my symptoms. I documented my experience and put it into IA and asked for alternative supplements or natural remedies. I was willing to try anything to feel better. After following the recommendations and suggestions from AI I started to feel better. I am now over my health issue and I believe it was the alternative medicinal advise I was given that made a difference.,6,6,5,6,"Fairness, Non-harm, Transparency",45 - 54,Woman,Canada,Bachelor's degree,Employed full time,6
Yes,5d29d6bd30fa6f0015cd4a75,Occasionally,5-6 hours,4,7,4,4,7,2,7,7,4,7,4,3,7,7,4,7,4,1,1,4,I would say the time I asked the AI a question about if a certain bank was in the area it allowed to make a decision sooner rather than later because I didn't know all the banks in the area.,5,4,1,5,"Honesty, Responsibility, Transparency",45 - 54,Man,US,High school,Self-employed / freelance,7
Yes,66758888b7b775b5c2d18658,Rarely,5-6 hours,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,"To be honest, as can be seen from my answers, I really don't use AI tools for any serious decision-making in my personal or professional life. The nearest that I would come is reading over the Google AI sugestions at the top of a search page, but I find that these are wrong about 50% of the time so I always scroll down to an actual source. ",3,7,4,1,"Honesty, Human wellbeing, Non-harm",45 - 54,Woman,Canada,Postgraduate degree,Employed full time,6
Yes,6630e36ad79d4c0051a4b2ee,Sometimes,9-10 hours,4,4,2,4,5,3,3,2,1,1,1,1,1,1,7,7,1,1,1,1,I was contemplating whether to send an email to my child's principal because of an incident that occurred or if I should appear in person. I went to AI to see what it could suggest and of course see what it could gather from the internet in regards to what others have done in my situation. It was good to see the other options that I could take so utilizing AI was helpful in that moment.,2,7,1,6,"Fairness, Human wellbeing, Non-harm",35 - 44,Woman,US,Postgraduate degree,Employed full time,4
Yes,680c0636408121caf12fe0d1,Very often,2-4 hours,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,1,7,more accurate information,7,7,7,7,"Honesty, Responsibility, Transparency",55 - 65,Woman,US,Bachelor's degree,Employed full time,7
Yes,6762a1453b3bc252b8ea3bb8,Very often,More than 12 hours,4,3,5,5,6,2,6,5,5,5,6,5,5,4,5,3,6,5,4,6,I was deciding which chicken shop to get dinner from and asked AI as i couldn't make up my own mind,5,5,6,4,"Honesty, Fairness, Non-harm",45 - 54,Woman,UK,Bachelor's degree,Employed full time,5
Yes,5f4a9eb861da210d3496cb34,Sometimes,5-6 hours,2,5,5,6,6,2,5,2,2,6,5,2,6,4,7,7,6,5,5,5,"I was tasked with organising a team-building event. for my team. I needed to decide where to go for my Team Building day. I was uncertain, so I asked an AI tool  for options and advice. The AI was extremely helpful in priding me with appropriate options.  ",6,5,6,4,"Honesty, Human wellbeing, Non-harm",55 - 65,Woman,UK,Postgraduate degree,Employed part-time,5
Yes,67328c7c93419796b690a4dc,Rarely,2-4 hours,1,1,1,1,1,1,3,1,1,1,1,4,5,5,6,7,2,3,1,1,"Sometimes I read the Google AI search result before going deeper.  If it sounds consistent with my though ton what the answers should be, I will generally accept that.  If not, I dive deeper.  I never rely on AI alone and rarely use specific AI tools on their own.",1,6,5,2,"Responsibility, Non-harm, Transparency",45 - 54,Woman,Canada,Postgraduate degree,Employed full time,5
Yes,5ed9c3054268815691ed0e2c,Sometimes,5-6 hours,5,6,6,5,6,3,5,5,5,6,5,4,5,3,3,3,5,3,2,5,"i asked advice on how to be more efficient on my daily tasks and while i think i have been on the right path and making improvements on my own, knowing that AI is good for these kind of questions i did use it as a second opinion and it did in fact help me improve on my productivity so i'll continue to do this in the future.",5,6,4,6,"Honesty, Human wellbeing, Non-harm",35 - 44,Man,US,High school,Self-employed / freelance,5
Yes,604516dcb387435f27f3ed6f,Sometimes,2-4 hours,4,5,4,4,4,2,4,4,4,4,5,4,4,4,4,3,4,4,4,5,"Using AI to search for directions to find an address, which helped avoid traffic at the time ",5,4,4,4,"Human wellbeing, Transparency, Accountability",25 - 34,Man,UK,Bachelor's degree,Employed full time,5
Yes,5c7cf8b58ca9000001b52f6e,Everyday,9-10 hours,6,6,7,6,6,4,6,6,6,6,6,7,6,4,4,3,7,3,2,6,"I was deciding between laptops , so I entered the specs for both laptops to get an idea of what the AI thought and it was pretty instrumental in helping me make a good decision.",7,5,6,6,"Honesty, Responsibility, Human wellbeing",25 - 34,Man,US,High school,Employed full time,5
Yes,5ed559e5afbd830e2117ed55,Often,5-6 hours,5,7,7,5,7,3,5,7,5,6,6,5,6,5,7,5,6,5,4,6,"I was deciding on what watch to buy, I and I turned to AI, because I wanted to know about durability, accuracy, etc., and not just appearance.",6,7,6,4,"Honesty, Fairness, Transparency",55 - 65,Man,US,Postgraduate degree,Employed full time,5
Yes,64320d32f144ad4cef20c60f,Sometimes,Less than 2 hours,6,6,6,6,6,4,4,5,5,5,5,5,5,5,6,6,4,6,6,6,I used AI to help me find the best tires for my truck,6,6,5,5,"Responsibility, Non-harm, Transparency",55 - 65,Man,US,Postgraduate degree,Employed full time,6
Yes,6229dc51dff340226697778e,Occasionally,Less than 2 hours,3,2,3,1,2,1,1,1,1,1,1,1,1,1,4,7,1,1,2,6,Looking for a  alternative to a food product,4,5,5,4,"Fairness, Transparency",55 - 65,Man,UK,Some university/college,Not currently working,3
Yes,5aca8df5436f550001000d03,Occasionally,2-4 hours,1,1,4,1,5,2,3,2,1,1,1,4,5,6,4,7,4,5,6,7,"I used AI to come with a list of suggestions for a present I could buy for my workplace's Christmas gift exchange. I had no idea and just used one of the suggestions I got from AI rather than coming up with an idea by myself. I used AI because I really had zero idea what to get and it didn't feel massively important, combined with the fact that I genuinely liked a lot of the suggestions it came up with.",3,6,5,3,"Honesty, Transparency, Accountability",45 - 54,Woman,New Zealand,Bachelor's degree,Employed full time,5
Yes,5d83140cc554400001289ff1,Everyday,7-8 hours,5,7,7,7,7,2,6,6,6,7,7,5,4,2,4,2,5,4,2,6,"Making decisions to purchase something during the Steam black friday sale, I used AI to help me formulate a plan of games to try, check their price history trends, and make a decision on whether to wait or not on some purchases given that history. I turned to AI because I find that I often act indecisively and can over obsess over things for a long period of time, and AI helps me sort of just brute force push through that and make decisions more efficiently.",6,4,5,4,"Honesty, Respect, Human wellbeing",18 - 24,Man,US,Bachelor's degree,Self-employed / freelance,5
Yes,6927665006e11f2bcf3315da,Everyday,9-10 hours,3,5,3,3,4,4,5,3,3,4,3,3,4,6,6,6,4,2,3,5,"I was juggling a couple of Christmas gift ideas for my nephew, and struggling to choose which would be best. I was leaning in one direction, and explained the situation to AI. It helped to validate the direction I was leaning toward.",4,6,6,5,"Fairness, Human wellbeing, Transparency",35 - 44,Man,Canada,Bachelor's degree,Employed full time,5
Yes,63af557b3d4f219c3226b7d6,Often,2-4 hours,3,5,4,6,6,1,6,6,2,5,2,2,4,2,6,2,3,1,2,6,I don't tend to use AI to make decisions for me. I use it to gather information and make suggestions or recommendations. It all decisions are mine and mine alone. ,6,6,3,5,"Honesty, Fairness, Human wellbeing",45 - 54,Woman,UK,Bachelor's degree,Employed part-time,5
Yes,5c4f5967aac8be0001716a65,Often,2-4 hours,6,6,5,5,6,5,6,6,5,6,5,6,6,5,6,6,6,5,5,6,relied on AI to draft an email quickly due to time pressure.,5,6,5,6,"Honesty, Human wellbeing, Transparency",25 - 34,Man,UK,Bachelor's degree,Employed full time,5
Yes,6567ae0e8905da3905e013bf,Very often,9-10 hours,2,3,2,3,5,2,3,3,2,2,2,2,2,3,5,5,3,3,3,5,i used Ai to help me decide on changing business banks.  Ai was faster comparinhg products than i was.  its advice was similar to what i would have decided,5,6,6,5,"Honesty, Responsibility, Non-harm",55 - 65,Man,UK,Bachelor's degree,Self-employed / freelance,6
